attribute,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
area_frac,-0.0692,-0.0047,-0.3549,-0.4332,0.2006,-0.1312,0.1609,-0.4018,0.0347,-0.2091,0.4246,-0.2566,-0.0866,-0.1024,-0.4326,-0.0537,-0.1373,-0.5845,-0.1656,-0.5451,-0.2938,0.1867,0.1832,0.2605,0.4418,-0.3859,-0.3142,-0.0656,-0.0531,-0.4744,0.2180,0.4123,-0.4222,-0.0633,-0.0728,-0.0064,-0.1383,0.3309,0.2880,0.3873,0.3112,0.0192,-0.3342,0.2189,-0.1609,0.2645,0.2801,-0.0535,0.4385,-0.0602,-0.3521,0.0676,-0.2556,0.3366,-0.3302,-0.0796,-0.2127,-0.4903,0.3368,-0.1984,0.1123,-0.4270,0.1274,0.2405
x_spread,0.0909,-0.0753,0.0651,0.1651,-0.0277,-0.0191,0.0230,0.1682,-0.0410,0.0882,-0.1365,0.0997,-0.0453,0.0236,0.0285,0.0047,0.2378,0.1210,-0.0074,0.1415,0.1069,-0.1431,-0.0973,0.0378,0.0147,0.1437,0.0414,0.1777,0.2019,0.1101,-0.1271,0.0008,0.0194,-0.2580,-0.1271,-0.1601,-0.1141,-0.2072,-0.0365,-0.2226,0.0133,0.1330,0.1773,-0.1591,0.0572,-0.1378,-0.1822,0.1049,-0.1693,0.1651,0.0991,0.1401,0.1947,-0.2544,0.2064,0.1747,0.2630,0.0993,-0.1876,0.0120,-0.1070,0.1814,-0.1438,-0.2369
y_spread,-0.1065,-0.0844,0.1354,0.0044,-0.2667,-0.2755,-0.1797,-0.1238,0.2575,-0.0579,-0.0323,0.1942,0.0153,-0.2737,0.1166,-0.1435,-0.1548,-0.0184,0.1871,0.1149,-0.1369,-0.2672,0.0964,-0.2564,-0.1029,0.1285,-0.1434,-0.1649,-0.1411,-0.0696,-0.0298,-0.1188,-0.1341,0.1134,-0.2288,0.2465,-0.0746,-0.0712,0.1065,0.0857,0.1074,-0.1553,0.1781,0.1079,-0.1522,0.2356,-0.1966,0.1980,-0.1624,-0.2138,-0.0387,0.0660,0.0286,-0.0043,0.1211,0.1658,0.0369,-0.0475,-0.0468,-0.1711,-0.0115,0.0924,0.0566,0.0993
edge_density,-0.0491,-0.0614,-0.2605,-0.3633,0.0860,-0.1498,0.0927,-0.3291,0.0881,-0.1615,0.3442,-0.1208,-0.1153,-0.1025,-0.3454,-0.0933,-0.1114,-0.4604,-0.0600,-0.3950,-0.2705,0.0810,0.1597,0.1447,0.3124,-0.2434,-0.2905,-0.0822,-0.0229,-0.3905,0.1976,0.2812,-0.3667,-0.0517,-0.0889,0.0181,-0.0930,0.2184,0.2244,0.3033,0.2587,-0.0464,-0.1961,0.2173,-0.1502,0.2117,0.1647,0.0308,0.2943,-0.0512,-0.2837,0.0576,-0.1842,0.2462,-0.2361,-0.0318,-0.1572,-0.4017,0.2396,-0.2169,0.0850,-0.3203,0.1316,0.1862
