attribute,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
area_frac,-0.0580,0.0339,-0.3749,-0.4174,0.2298,-0.1152,0.1942,-0.4266,0.0214,-0.2033,0.4147,-0.2836,-0.0438,-0.1006,-0.4040,-0.0460,-0.1482,-0.5881,-0.2107,-0.5590,-0.2770,0.2117,0.1972,0.2711,0.4498,-0.4209,-0.2890,-0.0576,-0.0848,-0.4651,0.1914,0.4410,-0.3852,-0.0513,-0.0509,-0.0002,-0.1625,0.3333,0.3048,0.3869,0.2931,0.0347,-0.3733,0.1962,-0.1410,0.2598,0.2823,-0.0921,0.4648,-0.0714,-0.3546,0.0671,-0.2482,0.3686,-0.3263,-0.0860,-0.2130,-0.4735,0.3289,-0.1668,0.1145,-0.4273,0.1071,0.2429
x_spread,0.1332,-0.0526,0.1033,0.1865,-0.0341,-0.0294,-0.0044,0.1852,-0.0708,0.1265,-0.1550,0.1211,-0.0496,0.0085,0.0477,-0.0049,0.2384,0.1283,-0.0065,0.1536,0.1313,-0.1593,-0.0768,0.0353,0.0149,0.1388,0.0491,0.1941,0.1969,0.1119,-0.1518,-0.0084,0.0214,-0.2691,-0.1295,-0.1701,-0.1257,-0.2333,-0.0532,-0.2537,0.0282,0.1507,0.1822,-0.1989,0.0590,-0.1727,-0.2107,0.1167,-0.1740,0.2059,0.0912,0.1575,0.2183,-0.2682,0.2291,0.1996,0.2752,0.1150,-0.2161,0.0150,-0.1316,0.2150,-0.1767,-0.2476
y_spread,-0.1313,-0.0833,0.1187,0.0019,-0.2565,-0.2954,-0.1611,-0.1472,0.2683,-0.0645,-0.0102,0.1808,0.0636,-0.2992,0.1095,-0.1532,-0.1778,-0.0420,0.1637,0.0975,-0.1305,-0.2637,0.1163,-0.2374,-0.0555,0.1069,-0.1718,-0.1496,-0.1510,-0.1001,-0.0553,-0.0676,-0.1701,0.0884,-0.2489,0.2512,-0.1210,-0.0579,0.1686,0.0792,0.1458,-0.1369,0.1573,0.0846,-0.1733,0.2468,-0.1887,0.1929,-0.1386,-0.2244,-0.0780,0.1001,0.0471,-0.0252,0.1238,0.1711,0.0510,-0.0712,-0.0413,-0.1649,0.0186,0.0787,0.0311,0.1152
edge_density,-0.0464,-0.0472,-0.2847,-0.3514,0.0988,-0.1299,0.1302,-0.3230,0.0870,-0.1613,0.3384,-0.1308,-0.0804,-0.0887,-0.3154,-0.0969,-0.1056,-0.4555,-0.0879,-0.3797,-0.2545,0.0993,0.1606,0.1407,0.3028,-0.2486,-0.2729,-0.0805,-0.0354,-0.3764,0.1856,0.3020,-0.3281,-0.0572,-0.0577,0.0177,-0.1081,0.2200,0.2346,0.2920,0.2308,-0.0502,-0.2177,0.1919,-0.1365,0.1947,0.1599,0.0160,0.3005,-0.0601,-0.2798,0.0492,-0.1769,0.2608,-0.2316,-0.0344,-0.1582,-0.3823,0.2318,-0.2005,0.0946,-0.3199,0.1231,0.1721
