attribute,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
area_frac,-0.0963,0.0715,-0.2117,-0.0824,0.0557,0.0173,-0.0186,0.1886,0.0684,0.1644,-0.2121,0.0274,-0.0180,-0.1006,-0.0787,0.1392,0.1558,-0.0358,0.0004,0.0654,-0.1964,-0.0510,-0.1288,0.1087,-0.0542,-0.0793,-0.2049,0.1331,-0.0857,0.0919,0.2047,-0.2281,-0.2080,-0.0584,-0.0401,-0.0798,0.0215,-0.1102,-0.0278,0.1750,0.1142,-0.0112,0.1057,0.1082,0.0232,0.0828,-0.0742,0.0320,0.0410,-0.1905,-0.1479,-0.1084,-0.0978,0.1041,-0.1884,0.0786,-0.1248,-0.1096,-0.0647,-0.1235,-0.1461,-0.0501,0.2669,0.2032
x_spread,0.1559,-0.0611,0.1785,0.0065,-0.1439,0.1004,0.0421,-0.1433,-0.1102,0.1162,0.0130,-0.0902,-0.0664,-0.1433,-0.1904,0.1341,-0.1942,-0.0531,-0.0640,0.1059,0.0741,0.1099,0.0496,0.1560,0.0076,0.1208,0.2173,-0.0675,0.0260,-0.1070,-0.0626,0.0524,0.1566,-0.2236,0.2134,-0.0946,0.1073,-0.0125,-0.1579,-0.1357,0.0911,0.0903,-0.2361,-0.0113,0.1104,-0.1916,0.1806,-0.0317,0.1277,0.0542,0.2164,0.1620,0.1683,-0.1581,0.1973,0.2163,0.0641,0.0772,0.1380,0.1739,0.1632,-0.0471,-0.2135,-0.2169
y_spread,0.0246,-0.1058,0.1787,0.0023,-0.0888,-0.1432,-0.0419,-0.0339,-0.0672,-0.1519,0.1196,-0.0739,0.0223,0.0151,0.1165,-0.2094,-0.1497,0.1012,0.0404,-0.0578,0.0951,0.1051,0.0832,-0.1303,0.0174,0.1238,0.1889,-0.1658,0.0606,-0.1506,-0.1803,0.2450,0.0964,0.0888,0.0009,0.0420,0.0756,0.0937,0.0761,-0.0552,-0.1686,-0.0300,-0.0697,-0.1704,-0.1087,-0.0641,0.1426,-0.0089,-0.0190,0.0043,0.0684,0.0774,-0.0637,0.0374,0.0607,-0.1046,0.0055,-0.0328,0.0747,0.1373,0.0040,-0.0928,-0.1137,-0.1415
edge_density,-0.0212,0.0491,-0.1122,-0.0506,-0.0051,0.0624,0.0138,0.0990,0.0429,0.0775,-0.1702,0.0077,-0.0189,-0.1053,-0.0980,0.1439,0.1192,-0.0597,-0.0243,0.0491,-0.1291,-0.0202,-0.0807,0.1266,-0.0379,-0.0193,-0.1123,0.0925,-0.0686,0.0471,0.1455,-0.1502,-0.1033,-0.0807,0.0001,-0.0922,0.0601,-0.1090,-0.0512,0.1140,0.1139,0.0124,0.0432,0.0580,0.0290,0.0404,-0.0383,0.0232,0.0348,-0.1191,-0.0740,-0.0591,-0.0113,0.0340,-0.0858,0.0636,-0.0891,-0.0777,-0.0537,-0.0667,-0.0879,-0.0393,0.1550,0.1174
