attribute,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
area_frac,-0.1420,-0.0275,-0.3668,-0.4186,0.1753,-0.1416,0.1925,-0.4334,-0.0155,-0.2638,0.4347,-0.2386,-0.0822,-0.1241,-0.4599,-0.0209,-0.1701,-0.5997,-0.1306,-0.5591,-0.2992,0.1473,0.1585,0.2779,0.4494,-0.3846,-0.3299,-0.0362,-0.0192,-0.5016,0.1907,0.4381,-0.4263,-0.1162,-0.1378,0.0275,-0.1264,0.3418,0.2727,0.3670,0.3416,0.0464,-0.3368,0.2116,-0.2021,0.2935,0.3057,-0.0429,0.4152,-0.0127,-0.3463,0.0924,-0.1913,0.3107,-0.3226,-0.0502,-0.1808,-0.5143,0.3786,-0.1931,0.1305,-0.4288,0.0994,0.3079
x_spread,0.1084,-0.0683,0.0666,0.1441,-0.0060,-0.0065,0.0026,0.1470,-0.0401,0.0954,-0.1323,0.0705,-0.0805,0.0257,0.0073,0.0293,0.2346,0.1053,-0.0194,0.1075,0.0900,-0.1167,-0.0948,0.0411,0.0337,0.1215,0.0499,0.1632,0.2072,0.1025,-0.1079,0.0041,0.0191,-0.2519,-0.1087,-0.1547,-0.1114,-0.2087,-0.0165,-0.1989,0.0081,0.1267,0.1597,-0.1365,0.0748,-0.1261,-0.1664,0.0795,-0.1465,0.1447,0.1021,0.1303,0.1528,-0.2347,0.1746,0.1509,0.2412,0.0911,-0.1828,0.0115,-0.1070,0.1624,-0.1247,-0.2104
y_spread,-0.1477,-0.1177,0.1402,-0.0193,-0.2894,-0.2732,-0.2028,-0.1240,0.2836,-0.0871,-0.0234,0.2241,-0.0234,-0.2559,0.1051,-0.1700,-0.1453,-0.0175,0.2214,0.1413,-0.1715,-0.2764,0.0674,-0.2683,-0.1527,0.1881,-0.1587,-0.1868,-0.1339,-0.0655,0.0165,-0.1608,-0.1312,0.1194,-0.1958,0.2477,-0.0338,-0.0673,0.0688,0.1100,0.0799,-0.1942,0.2196,0.1525,-0.1599,0.2590,-0.2122,0.2376,-0.2060,-0.2189,-0.0085,0.0311,0.0140,0.0144,0.1126,0.1654,0.0208,-0.0558,-0.0335,-0.2074,-0.0230,0.0920,0.1035,0.0891
edge_density,-0.1204,-0.0837,-0.2561,-0.3375,0.0604,-0.1510,0.1026,-0.3441,0.0635,-0.2090,0.3409,-0.1083,-0.0915,-0.1294,-0.3377,-0.0690,-0.1365,-0.4516,-0.0404,-0.3854,-0.2566,0.0503,0.1549,0.1391,0.3033,-0.2316,-0.3026,-0.0708,-0.0130,-0.4042,0.1661,0.2960,-0.3487,-0.0737,-0.1426,0.0503,-0.0942,0.2244,0.2360,0.2895,0.2731,-0.0216,-0.1905,0.2073,-0.1796,0.2448,0.1773,0.0289,0.2660,-0.0530,-0.2883,0.0721,-0.1459,0.2086,-0.2216,-0.0063,-0.1343,-0.4083,0.2638,-0.1893,0.1160,-0.3173,0.1035,0.2292
