attribute,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
area_frac,-0.2068,-0.0671,-0.3761,-0.4256,0.1183,-0.1927,0.1824,-0.4553,0.0703,-0.3046,0.4523,-0.1993,-0.0297,-0.1554,-0.4511,-0.0729,-0.2295,-0.5990,-0.0861,-0.5624,-0.3263,0.0998,0.1734,0.2395,0.4425,-0.3800,-0.3632,-0.0973,-0.0621,-0.5001,0.1984,0.4140,-0.4123,-0.0791,-0.1388,0.1059,-0.0981,0.3553,0.3042,0.3841,0.3129,-0.0241,-0.3279,0.2290,-0.2332,0.3427,0.2767,0.0021,0.3697,-0.0930,-0.3656,0.0653,-0.1760,0.2690,-0.3185,-0.0423,-0.1918,-0.5127,0.4053,-0.2217,0.1747,-0.4487,0.1417,0.3318
x_spread,0.0836,-0.0805,0.0694,0.1330,-0.0288,-0.0155,0.0022,0.1442,-0.0496,0.0748,-0.1169,0.1036,-0.0655,0.0091,-0.0052,-0.0006,0.2177,0.0961,-0.0005,0.1180,0.0835,-0.1317,-0.0805,0.0424,0.0328,0.1304,0.0287,0.1588,0.2084,0.0764,-0.1015,0.0075,-0.0052,-0.2450,-0.1105,-0.1370,-0.0990,-0.2115,-0.0272,-0.2014,0.0345,0.1257,0.1696,-0.1518,0.0334,-0.1286,-0.1804,0.1065,-0.1706,0.1772,0.0926,0.1214,0.1574,-0.2078,0.1673,0.1674,0.2285,0.0658,-0.1776,-0.0012,-0.0669,0.1656,-0.1342,-0.1686
y_spread,-0.1287,-0.0892,0.1225,-0.0163,-0.2713,-0.2433,-0.1889,-0.1172,0.2816,-0.0869,-0.0158,0.1882,0.0051,-0.2389,0.1098,-0.1564,-0.1396,-0.0298,0.1896,0.1335,-0.1399,-0.2374,0.0873,-0.2765,-0.1283,0.1571,-0.1351,-0.1909,-0.1509,-0.0780,0.0117,-0.1234,-0.1140,0.1096,-0.1637,0.2466,-0.0617,-0.0443,0.0847,0.1122,0.0718,-0.1754,0.1909,0.1165,-0.1374,0.2398,-0.1906,0.1922,-0.1708,-0.2236,-0.0219,0.0455,-0.0043,0.0308,0.0910,0.1401,0.0106,-0.0605,-0.0144,-0.1711,-0.0081,0.0702,0.0830,0.1026
edge_density,-0.1528,-0.0832,-0.2614,-0.3260,0.0367,-0.1823,0.1178,-0.3573,0.0971,-0.2244,0.3473,-0.0915,-0.0242,-0.1510,-0.3238,-0.1059,-0.1859,-0.4517,-0.0276,-0.3981,-0.2518,0.0285,0.1775,0.1339,0.3217,-0.2553,-0.3161,-0.0912,-0.0492,-0.4015,0.1455,0.3015,-0.3347,-0.0605,-0.1399,0.1002,-0.0871,0.2285,0.2540,0.2810,0.2633,-0.0434,-0.2058,0.1836,-0.2007,0.2607,0.1601,0.0431,0.2520,-0.0838,-0.3144,0.0614,-0.1128,0.1705,-0.2106,0.0094,-0.1306,-0.4019,0.2715,-0.1883,0.1437,-0.3216,0.1012,0.2488
